CustomerID,Recency,Frequency,Monetary,Cluster,CustomerSegment
12346,326,1,77183.6,3,High Value Customers
12347,3,7,4310.0,0,Regular Customers
12348,76,4,1797.24,0,Regular Customers
12349,19,1,1757.55,0,Regular Customers
12350,311,1,334.4,1,At-Risk Customers
12352,37,8,2506.04,0,Regular Customers
12353,205,1,89.0,1,At-Risk Customers
12354,233,1,1079.4,1,At-Risk Customers
12355,215,1,459.4,1,At-Risk Customers
12356,23,3,2811.43,0,Regular Customers
12357,34,1,6207.67,0,Regular Customers
12358,2,2,1168.06,0,Regular Customers
12359,58,4,6310.03,0,Regular Customers
12360,53,3,2662.06,0,Regular Customers
12361,288,1,189.9,1,At-Risk Customers
12362,4,10,5226.23,0,Regular Customers
12363,110,2,552.0,0,Regular Customers
12364,8,4,1313.1,0,Regular Customers
12365,292,2,641.38,1,At-Risk Customers
12367,5,1,168.9,0,Regular Customers
12370,52,4,3541.94,0,Regular Customers
12371,45,2,1887.96,0,Regular Customers
12372,72,3,1298.04,0,Regular Customers
12373,312,1,364.6,1,At-Risk Customers
12374,26,1,742.9300000000001,0,Regular Customers
12375,11,2,457.5,0,Regular Customers
12377,316,2,1628.12,1,At-Risk Customers
12378,130,1,4008.62,0,Regular Customers
12379,82,2,852.24,0,Regular Customers
12380,22,4,2724.81,0,Regular Customers
12381,5,5,1845.31,0,Regular Customers
12383,185,5,1850.56,1,At-Risk Customers
12384,29,2,585.27,0,Regular Customers
12386,338,2,401.9,1,At-Risk Customers
12388,16,6,2780.66,0,Regular Customers
12390,80,1,549.84,0,Regular Customers
12391,22,1,439.66,0,Regular Customers
12393,73,4,1582.6,0,Regular Customers
12394,64,2,1272.48,0,Regular Customers
12395,20,12,3018.63,0,Regular Customers
12397,36,2,2409.9,0,Regular Customers
12398,46,1,1635.6599999999999,0,Regular Customers
12399,120,4,1108.65,0,Regular Customers
12401,304,1,84.3,1,At-Risk Customers
12402,324,1,225.6,1,At-Risk Customers
12403,50,1,427.70000000000005,0,Regular Customers
12405,149,1,1710.3899999999999,1,At-Risk Customers
12406,23,2,3415.2999999999997,0,Regular Customers
12407,50,5,1708.12,0,Regular Customers
12408,33,5,2888.55,0,Regular Customers
12409,79,3,11072.67,0,Regular Customers
12410,309,2,693.3299999999999,1,At-Risk Customers
12412,75,3,1226.8799999999999,0,Regular Customers
12413,67,3,758.1,0,Regular Customers
12414,218,3,562.41,1,At-Risk Customers
12415,25,21,124914.53,2,VIP Customers
12417,4,9,3649.1,0,Regular Customers
12418,113,1,668.5799999999999,0,Regular Customers
12420,64,1,600.39,0,Regular Customers
12421,16,4,807.04,0,Regular Customers
12422,96,3,803.56,0,Regular Customers
12423,1,8,1859.31,0,Regular Customers
12424,163,2,1760.96,1,At-Risk Customers
12425,79,1,777.2,0,Regular Customers
12426,195,1,582.73,1,At-Risk Customers
12427,22,3,825.8,0,Regular Customers
12428,26,9,7956.46,0,Regular Customers
12429,10,4,3750.4,0,Regular Customers
12430,44,1,256.4,0,Regular Customers
12431,36,15,6419.95,3,High Value Customers
12432,43,5,5059.32,0,Regular Customers
12433,1,7,13375.87,0,Regular Customers
12434,85,2,806.14,0,Regular Customers
12435,80,2,7829.889999999999,0,Regular Customers
12436,100,1,509.01,0,Regular Customers
12437,2,18,4951.41,3,High Value Customers
12438,15,2,2906.85,0,Regular Customers
12441,367,1,173.55,1,At-Risk Customers
12442,4,1,172.06,0,Regular Customers
12444,22,5,5005.46,0,Regular Customers
12445,23,1,133.4,0,Regular Customers
12446,58,1,1002.31,0,Regular Customers
12447,244,1,476.49,1,At-Risk Customers
12448,45,1,449.45,0,Regular Customers
12449,23,4,4067.29,0,Regular Customers
12450,157,2,197.88,1,At-Risk Customers
12451,11,5,9035.52,0,Regular Customers
12452,17,2,430.57,0,Regular Customers
12453,135,1,707.09,0,Regular Customers
12454,57,1,3528.34,0,Regular Customers
12455,74,6,2466.86,0,Regular Customers
12456,45,3,3181.04,0,Regular Customers
12457,67,7,2363.23,0,Regular Customers
12458,72,2,947.4,0,Regular Customers
12461,95,2,826.88,0,Regular Customers
12462,19,2,1189.59,0,Regular Customers
12463,54,4,1344.78,0,Regular Customers
12464,11,8,1212.05,0,Regular Customers
12465,18,2,742.1899999999999,0,Regular Customers
12468,188,2,729.54,1,At-Risk Customers
12471,3,30,19788.65,3,High Value Customers
12472,33,7,6572.11,0,Regular Customers
12473,30,5,3928.05,0,Regular Customers
